Translated_Comment,Cleaned_Translated_Comment,Sentiment_Scores,Sentiment_Compound,Sentiment_Label
"Depending on your religion, and maybe even your intellect, metaphysically speaking, this might be one of those new viral pandemics being spread by Uranus, or by Jupiter or perhaps even Mars, or, god help us, Saturn ~ The god's must be going mad again...  (Nevermind, Trump will save America, and then America will save the rest of us)...",depending on your religion and maybe even your intellect metaphysically speaking this might be one of those new viral pandemics being spread by uranus or by jupiter or perhaps even mars or god help us saturn the gods must be going mad again nevermind trump will save america and then america will save the rest of us,"{'neg': 0.047, 'neu': 0.746, 'pos': 0.208, 'compound': 0.875}",0.875,Positive
"Who cares? I mean, WHO cares!",who cares i mean who cares,"{'neg': 0.0, 'neu': 0.4, 'pos': 0.6, 'compound': 0.7184}",0.7184,Positive
"Yes here we go again, more fear porn   Do you remember in the last five years apart from continuing mutations from cvd virus ðŸ¦  we had the cow ðŸ„ poo, then the chook flu, then the bees ðŸ disease, monkey  ðŸ’ pox etc etc",yes here we go again more fear porn do you remember in the last five years apart from continuing mutations from cvd virus ðÿ we had the cow ðÿ poo then the chook flu then the bees ðÿ disease monkey ðÿ pox etc etc,"{'neg': 0.122, 'neu': 0.823, 'pos': 0.054, 'compound': -0.5256}",-0.5256,Negative
Just in time for the US inauguration. Surely we don't believe this bullshit again?,just in time for the us inauguration surely we dont believe this bullshit again,"{'neg': 0.232, 'neu': 0.619, 'pos': 0.149, 'compound': -0.3818}",-0.3818,Negative
2020 repeating itself,2020 repeating itself,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
"In 2020 it was Clark Kent/Superman, this time the flu will become Shazam!",in 2020 it was clark kentsuperman this time the flu will become shazam,"{'neg': 0.178, 'neu': 0.822, 'pos': 0.0, 'compound': -0.3818}",-0.3818,Negative
Total bullshit is quite common in Australia usually coming out of the mouths of politicians and pharmaceutical industry compromised medical staff.,total bullshit is quite common in australia usually coming out of the mouths of politicians and pharmaceutical industry compromised medical staff,"{'neg': 0.17, 'neu': 0.83, 'pos': 0.0, 'compound': -0.624}",-0.624,Negative
"More bs again , planned release of new  experimental germ warfare again !!!",more bs again planned release of new experimental germ warfare again,"{'neg': 0.18, 'neu': 0.82, 'pos': 0.0, 'compound': -0.296}",-0.296,Negative
like covid did Dr fauci make this too in his lab in wyhan!,like covid did dr fauci make this too in his lab in wyhan,"{'neg': 0.0, 'neu': 0.828, 'pos': 0.172, 'compound': 0.3612}",0.3612,Positive
HMPV = Human Misinformation Pushed Vindictively .,hmpv human misinformation pushed vindictively,"{'neg': 0.365, 'neu': 0.635, 'pos': 0.0, 'compound': -0.3182}",-0.3182,Negative
Total BS!  Donâ€:trade_mark:t get fooled again.,total bs donâtrade_markt get fooled again,"{'neg': 0.342, 'neu': 0.658, 'pos': 0.0, 'compound': -0.3818}",-0.3818,Negative
Fake news! Media bs as usual!,fake news media bs as usual,"{'neg': 0.383, 'neu': 0.617, 'pos': 0.0, 'compound': -0.4767}",-0.4767,Negative
Sounds like a loada ðŸ’:copyright:ðŸ’:copyright:ðŸ’:copyright: to me!! ðŸ:trade_mark:„,sounds like a loada ðÿcopyrightðÿcopyrightðÿcopyright to me ðÿtrade_mark,"{'neg': 0.0, 'neu': 0.737, 'pos': 0.263, 'compound': 0.3612}",0.3612,Positive
This sounds like a common cold or flu and nothing more!!,this sounds like a common cold or flu and nothing more,"{'neg': 0.184, 'neu': 0.638, 'pos': 0.177, 'compound': -0.0258}",-0.0258,Neutral
Another Engineered virus....ðŸ‘ðŸ‘ðŸ‘,another engineered virusðÿðÿðÿ,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
Whatever!!!!,whatever,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
Nobody is falling for it again. Believe it or not many of us never fell for the first one. Keep your blood pure and Resist!,nobody is falling for it again believe it or not many of us never fell for the first one keep your blood pure and resist,"{'neg': 0.062, 'neu': 0.938, 'pos': 0.0, 'compound': -0.1531}",-0.1531,Negative
They are using AI to create viruses to attack certain demographics. Biological weapons are getting more and more advanced.,they are using ai to create viruses to attack certain demographics biological weapons are getting more and more advanced,"{'neg': 0.224, 'neu': 0.523, 'pos': 0.253, 'compound': -0.0627}",-0.0627,Negative
"All this is, is another way for them to make out that they don't overreact each time a cold/flu presnts itself. That last plandemic opened too many eyes for them to simply play that card again but 100% it's coming and It'll make the last one look like a walk in the park. You better believe they've  learnt their missteps..",all this is is another way for them to make out that they dont overreact each time a coldflu presnts itself that last plandemic opened too many eyes for them to simply play that card again but 100 its coming and itll make the last one look like a walk in the park you better believe theyve learnt their missteps,"{'neg': 0.0, 'neu': 0.846, 'pos': 0.154, 'compound': 0.847}",0.847,Positive
Propaganda channel this is!,propaganda channel this is,"{'neg': 0.4, 'neu': 0.6, 'pos': 0.0, 'compound': -0.25}",-0.25,Negative
HMPV please show me isolation and purification ?,hmpv please show me isolation and purification,"{'neg': 0.27, 'neu': 0.5, 'pos': 0.23, 'compound': -0.1027}",-0.1027,Negative
According to Bill Gates and the United Nations it's called Operation Catastrophic Contagion,according to bill gates and the united nations its called operation catastrophic contagion,"{'neg': 0.326, 'neu': 0.526, 'pos': 0.147, 'compound': -0.5267}",-0.5267,Negative
HMPV = Hate's Most Political Vision,hmpv hates most political vision,"{'neg': 0.355, 'neu': 0.367, 'pos': 0.279, 'compound': -0.1585}",-0.1585,Negative
"The last plandemic cured the flu,let that fact sink in",the last plandemic cured the flulet that fact sink in,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
We need Daneil Andrew back to lead the country thru this,we need daneil andrew back to lead the country thru this,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
Trusting Indian sources now instead of real investigations ??,trusting indian sources now instead of real investigations,"{'neg': 0.0, 'neu': 0.722, 'pos': 0.278, 'compound': 0.4019}",0.4019,Positive
Man i get the feeling kim is trying to cause another pandemic instead of stopping it,man i get the feeling kim is trying to cause another pandemic instead of stopping it,"{'neg': 0.094, 'neu': 0.819, 'pos': 0.088, 'compound': -0.0258}",-0.0258,Neutral
What is the secret with china ?,what is the secret with china,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
It's because Trump got in office they did it on purpose,its because trump got in office they did it on purpose,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
Oh because Trump is elected right be virus comes out haha for to live them crooked Democrats and Bill Gates wants to see populate makes sense now,oh because trump is elected right be virus comes out haha for to live them crooked democrats and bill gates wants to see populate makes sense now,"{'neg': 0.0, 'neu': 0.897, 'pos': 0.103, 'compound': 0.4588}",0.4588,Positive
Here we go again!  The economy must be in shits creek for another virus to arrive.   2 weeks to flatten the curve?,here we go again the economy must be in shits creek for another virus to arrive 2 weeks to flatten the curve,"{'neg': 0.129, 'neu': 0.871, 'pos': 0.0, 'compound': -0.4767}",-0.4767,Negative
lol try another scam,lol try another scam,"{'neg': 0.435, 'neu': 0.235, 'pos': 0.329, 'compound': -0.2263}",-0.2263,Negative
Here we go again .,here we go again,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
Is there any air left in China ?,is there any air left in china,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
Here we go again. The BS to lock down the world again. Trump is back and here comes the virus crap again. Surely people are NOT stupid enough to fall for this.,here we go again the bs to lock down the world again trump is back and here comes the virus crap again surely people are not stupid enough to fall for this,"{'neg': 0.07, 'neu': 0.778, 'pos': 0.152, 'compound': 0.4724}",0.4724,Positive
Iâ€:trade_mark:m not complying!!,iâtrade_markm not complying,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
Oh here we go again ðŸ˜:registered:BIG PHARMA getting ready to make their millions again ðŸ˜:registered: Follow the money ðŸ¤‘ðŸ¤‘ðŸ’°ðŸ¤‘ðŸ’°ðŸ¤‘ðŸ’°,oh here we go again ðÿregisteredbig pharma getting ready to make their millions again ðÿregistered follow the money ðÿðÿðÿðÿðÿðÿðÿ,"{'neg': 0.0, 'neu': 0.878, 'pos': 0.122, 'compound': 0.3612}",0.3612,Positive
One hundred  thousand Chinese people have died from this virus. No time to waste time its all it got. Time not late.,one hundred thousand chinese people have died from this virus no time to waste time its all it got time not late,"{'neg': 0.312, 'neu': 0.688, 'pos': 0.0, 'compound': -0.8225}",-0.8225,Negative
 was 24hr caring for 5x covid D elderly ... i didnt catch it ... and they all got better - victory.,was 24hr caring for 5x covid d elderly i didnt catch it and they all got better victory,"{'neg': 0.0, 'neu': 0.724, 'pos': 0.276, 'compound': 0.7269}",0.7269,Positive
AIDS is still rising ... but nothing is said about that,aids is still rising but nothing is said about that,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
"Here we go, the press is winding us up again.........get lost we're not playing, heard all this before and it was all lies. 3 people in my office got c19 over xmas....ALL ARE BACK AT WORK after 2 wks. Same old same old from the media.",here we go the press is winding us up againget lost were not playing heard all this before and it was all lies 3 people in my office got c19 over xmasall are back at work after 2 wks same old same old from the media,"{'neg': 0.135, 'neu': 0.865, 'pos': 0.0, 'compound': -0.69}",-0.69,Negative
MUCH LIKE THE COMMON COLD!!!!!! WHERE EXACTLY DID THE COMMON COLD GO BTW...????,much like the common cold where exactly did the common cold go btw,"{'neg': 0.0, 'neu': 0.828, 'pos': 0.172, 'compound': 0.3612}",0.3612,Positive
"Hahahaha lockdowns more vaccines more society control, domt believe the hype its systematically being rolled out the new wave of covid but to control you again",hahahaha lockdowns more vaccines more society control domt believe the hype its systematically being rolled out the new wave of covid but to control you again,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
And yet the planes are still flying in and out of there i bet,and yet the planes are still flying in and out of there i bet,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
28000 on avg die everyday in China. Never reported,28000 on avg die everyday in china never reported,"{'neg': 0.328, 'neu': 0.672, 'pos': 0.0, 'compound': -0.5994}",-0.5994,Negative
This anti-China pin up girl loves to hate China. India simply can't compete with China who has a stronger relationship with Russia militarily and economically. India is like Turkey ðŸ¦ƒ Ergadon Dinasoar.,this antichina pin up girl loves to hate china india simply cant compete with china who has a stronger relationship with russia militarily and economically india is like turkey ðÿƒ ergadon dinasoar,"{'neg': 0.091, 'neu': 0.691, 'pos': 0.217, 'compound': 0.6249}",0.6249,Positive
Only problematic for the wacked,only problematic for the wacked,"{'neg': 0.42, 'neu': 0.58, 'pos': 0.0, 'compound': -0.4404}",-0.4404,Negative
Like a cold then.,like a cold then,"{'neg': 0.0, 'neu': 0.545, 'pos': 0.455, 'compound': 0.3612}",0.3612,Positive
 hate say this but is the same b.s all over again,hate say this but is the same bs all over again,"{'neg': 0.19, 'neu': 0.81, 'pos': 0.0, 'compound': -0.3291}",-0.3291,Negative
"AND MY COUNTRY IS SILENT, AUSTRALIA.  WHAT ABSOLUTE TOSSERS. thank you India .",and my country is silent australia what absolute tossers thank you india,"{'neg': 0.0, 'neu': 0.815, 'pos': 0.185, 'compound': 0.3612}",0.3612,Positive
that truth... world darkness...,that truth world darkness,"{'neg': 0.317, 'neu': 0.317, 'pos': 0.365, 'compound': 0.0772}",0.0772,Positive
Mutations covid 19 and hmpv,mutations covid 19 and hmpv,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
The music in this video was chosen to create anxietyâ€¦ This video is an obvious attempt at â€˜fear-mongeringâ€:trade_mark:. Shameful.,the music in this video was chosen to create anxietyâ this video is an obvious attempt at âfearmongeringâtrade_mark shameful,"{'neg': 0.143, 'neu': 0.762, 'pos': 0.094, 'compound': -0.2732}",-0.2732,Negative
"Bunch of BS, people !  It's just another cold.",bunch of bs people its just another cold,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
Covid 2 ðŸ˜­,covid 2 ðÿ,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
Brotha u just got into uni,brotha u just got into uni,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
How that once Trump in focus a pandemic is developing. Was a Trudeau asking for?,how that once trump in focus a pandemic is developing was a trudeau asking for,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
"Believe in Yeshua, Repent and be born again brothers and sisters for the kingdom of God is at hand. He is coming very soon !",believe in yeshua repent and be born again brothers and sisters for the kingdom of god is at hand he is coming very soon,"{'neg': 0.0, 'neu': 0.806, 'pos': 0.194, 'compound': 0.6486}",0.6486,Positive
Sigh and myself and 3 kids are asthmatic what will i do if and when it reaches Jamaica,sigh and myself and 3 kids are asthmatic what will i do if and when it reaches jamaica,"{'neg': 0.0, 'neu': 0.874, 'pos': 0.126, 'compound': 0.0772}",0.0772,Positive
Don't be fooled a second time and don't be forced to take so called vaccines.,dont be fooled a second time and dont be forced to take so called vaccines,"{'neg': 0.0, 'neu': 0.736, 'pos': 0.264, 'compound': 0.5667}",0.5667,Positive
This is intentionally,this is intentionally,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
Here we go again,here we go again,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
"Are you controlled by India? Did you confirm the evidence by yourself? As a media outlet, you should be more professional, not spread rumors.",are you controlled by india did you confirm the evidence by yourself as a media outlet you should be more professional not spread rumors,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
Government doing this Jesus is coming,government doing this jesus is coming,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
Chinese new year ðŸ˜¢ðŸ˜¢ðŸ˜¢ðŸ˜¢,chinese new year ðÿðÿðÿðÿ,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
 new name on the same stuff that happens every year,new name on the same stuff that happens every year,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
Plandemic Round 2?,plandemic round 2,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
Its called a cold with a name.,its called a cold with a name,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
World   has  to   look   in   to   this  matter   before  getting  worse,world has to look in to this matter before getting worse,"{'neg': 0.234, 'neu': 0.681, 'pos': 0.085, 'compound': -0.4543}",-0.4543,Negative
This Feels like propaganda to me. Donâ€:trade_mark:t be scammed again,this feels like propaganda to me donâtrade_markt be scammed again,"{'neg': 0.16, 'neu': 0.64, 'pos': 0.2, 'compound': 0.128}",0.128,Positive
Why is only Indian news channels are showing news about HMPV.,why is only indian news channels are showing news about hmpv,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
Western manifac what nex,western manifac what nex,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
"China: ""Happy new year to you all"".",china happy new year to you all,"{'neg': 0.0, 'neu': 0.619, 'pos': 0.381, 'compound': 0.5719}",0.5719,Positive
This is a scare tactic can't believe china's lies,this is a scare tactic cant believe chinas lies,"{'neg': 0.255, 'neu': 0.559, 'pos': 0.186, 'compound': -0.2187}",-0.2187,Negative
"the pharmaceutical companies will be salivating, but our economy can not afford another panic attack",the pharmaceutical companies will be salivating but our economy can not afford another panic attack,"{'neg': 0.2, 'neu': 0.628, 'pos': 0.172, 'compound': -0.1523}",-0.1523,Negative
Nothing to see here.,nothing to see here,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
"Human metapneumovirus actually isn't new unlike covid-19 was. Official sources show it was discovered back in 2001 and some unofficial claims even state that early cases date back to mid last century. Currently, their is no vaccine for HMPV and its not a major health threat to the general population currently.
 But most importantly, if your still really concerned, then its best to remember to wash your hands, stay a safe distance wherever you can, avoid unnecessary travel and crowds, where a mask when around vulnerable family members, know your symptoms, isolate if you fall sick and most importantly, keep other vaccinations up to date if necessary. If you have any more concerns, than you should speak to your doctor, or a health professional for any further advice or assistance.",human metapneumovirus actually isnt new unlike covid19 was official sources show it was discovered back in 2001 and some unofficial claims even state that early cases date back to mid last century currently their is no vaccine for hmpv and its not a major health threat to the general population currently but most importantly if your still really concerned then its best to remember to wash your hands stay a safe distance wherever you can avoid unnecessary travel and crowds where a mask when around vulnerable family members know your symptoms isolate if you fall sick and most importantly keep other vaccinations up to date if necessary if you have any more concerns than you should speak to your doctor or a health professional for any further advice or assistance,"{'neg': 0.103, 'neu': 0.789, 'pos': 0.108, 'compound': 0.5704}",0.5704,Positive
"Albo has had a week to stop all flights from China now,   either this is a joke or he has to be kidding if he thinks people will comply with a lockdown again.   I complied with the first lockdown but not happening this time. Albo has had a week to stop flights.",albo has had a week to stop all flights from china now either this is a joke or he has to be kidding if he thinks people will comply with a lockdown again i complied with the first lockdown but not happening this time albo has had a week to stop flights,"{'neg': 0.08, 'neu': 0.87, 'pos': 0.051, 'compound': -0.3818}",-0.3818,Negative
"â­• Sign up for our NEWSLETTER and stay in touchðŸ‘‰https://www.ntd.com/newsletter.htm
ðŸ”´ THE FINAL WAR is a documentary that uncovers the Chinese Communist Partyâ€:trade_mark:s 100-year plot to defeat America.ðŸ‘‰ðŸ‘‰https://ept.ms/3V3NfV9
ðŸ”¥ BEST OFFER EVER  https://ept.ms/1For2Months-Tiffany",â sign up for our newsletter and stay in touchðÿ ðÿ the final war is a documentary that uncovers the chinese communist partyâtrade_marks 100year plot to defeat americaðÿðÿ ðÿ best offer ever,"{'neg': 0.172, 'neu': 0.723, 'pos': 0.105, 'compound': -0.4019}",-0.4019,Negative
Maybe these latest China deadly virus is intended to prevent Trump from winning his 2nd attempt in US presidential election like what they did before.,maybe these latest china deadly virus is intended to prevent trump from winning his 2nd attempt in us presidential election like what they did before,"{'neg': 0.0, 'neu': 0.759, 'pos': 0.241, 'compound': 0.7184}",0.7184,Positive
