Cleaned_Translated_Comment,VADER_Sentiment,Label_Encoded_Sentiment
man i get the feeling kim is trying to cause another pandemic instead of stopping it,Neutral,1
what is the secret with china,Neutral,1
its because trump got in office they did it on purpose,Neutral,1
oh because trump is elected right be virus comes out haha for to live them crooked democrats and bill gates wants to see populate makes sense now,Positive,2
here we go again the economy must be in shits creek for another virus to arrive 2 weeks to flatten the curve,Negative,0
lol try another scam,Negative,0
here we go again,Neutral,1
is there any air left in china,Neutral,1
here we go again the bs to lock down the world again trump is back and here comes the virus crap again surely people are not stupid enough to fall for this,Positive,2
im not complying,Neutral,1
oh here we go again registeredbig pharma getting ready to make their millions again registered follow the money ,Positive,2
one hundred thousand chinese people have died from this virus no time to waste time its all it got time not late,Negative,0
was 24hr caring for 5x covid d elderly i didnt catch it and they all got better victory,Positive,2
aids is still rising but nothing is said about that,Neutral,1
here we go the press is winding us up againget lost were not playing heard all this before and it was all lies 3 people in my office got c19 over xmasall are back at work after 2 wks same old same old from the media,Negative,0
much like the common cold where exactly did the common cold go btw,Positive,2
hahahaha lockdowns more vaccines more society control domt believe the hype its systematically being rolled out the new wave of covid but to control you again,Neutral,1
and yet the planes are still flying in and out of there i bet,Neutral,1
28000 on avg die everyday in china never reported,Negative,0
this antichina pin up girl loves to hate china india simply cant compete with china who has a stronger relationship with russia militarily and economically india is like turkey  ergadon dinasoar,Positive,2
only problematic for the wacked,Negative,0
like a cold then,Positive,2
hate say this but is the same bs all over again,Negative,0
and my country is silent australia what absolute tossers thank you india,Positive,2
that truth world darkness,Positive,2
mutations covid 19 and hmpv,Neutral,1
the music in this video was chosen to create anxiety this video is an obvious attempt at fearmongering shameful,Negative,0
bunch of bs people its just another cold,Neutral,1
covid 2 ,Neutral,1
brotha u just got into uni,Neutral,1
how that once trump in focus a pandemic is developing was a trudeau asking for,Neutral,1
believe in yeshua repent and be born again brothers and sisters for the kingdom of god is at hand he is coming very soon,Positive,2
sigh and myself and 3 kids are asthmatic what will i do if and when it reaches jamaica,Positive,2
dont be fooled a second time and dont be forced to take so called vaccines,Positive,2
this is intentionally,Neutral,1
are you controlled by india did you confirm the evidence by yourself as a media outlet you should be more professional not spread rumors,Neutral,1
government doing this jesus is coming,Neutral,1
chinese new year ,Neutral,1
new name on the same stuff that happens every year,Neutral,1
plandemic round 2,Neutral,1
its called a cold with a name,Neutral,1
world has to look in to this matter before getting worse,Negative,0
this feels like propaganda to me dont be scammed again,Positive,2
why is only indian news channels are showing news about hmpv,Neutral,1
western manifac what nex,Neutral,1
china happy new year to you all,Positive,2
this is a scare tactic cant believe chinas lies,Negative,0
the pharmaceutical companies will be salivating but our economy can not afford another panic attack,Negative,0
nothing to see here,Neutral,1
human metapneumovirus actually isnt new unlike covid19 was official sources show it was discovered back in 2001 and some unofficial claims even state that early cases date back to mid last century currently their is no vaccine for hmpv and its not a major health threat to the general population currently but most importantly if your still really concerned then its best to remember to wash your hands stay a safe distance wherever you can avoid unnecessary travel and crowds where a mask when around vulnerable family members know your symptoms isolate if you fall sick and most importantly keep other vaccinations up to date if necessary if you have any more concerns than you should speak to your doctor or a health professional for any further advice or assistance,Positive,2
albo has had a week to stop all flights from china now either this is a joke or he has to be kidding if he thinks people will comply with a lockdown again i complied with the first lockdown but not happening this time albo has had a week to stop flights,Negative,0
 sign up for our newsletter and stay in touch  the final war is a documentary that uncovers the chinese communist partys 100year plot to defeat america  best offer ever,Negative,0
maybe these latest china deadly virus is intended to prevent trump from winning his 2nd attempt in us presidential election like what they did before,Positive,2
ccp is addicted in making deadly contagious virus theyre probably this one could accomplish what covid19 failed to do depopulate the world,Negative,0
where is tiffany meier,Neutral,1
they made a new virus,Neutral,1
praying for those who are sick in china ,Negative,0
it is not 700 million but usd 16 billions to counter chinas influence but all china did was making documentary about china development it is the western tourist that reveal the fake news by the western mainstream media they are exposing the lies told to them by the media and politicians they found out the opposite is true when they were in china,Negative,0
i wonder whether this is another part of america spending 700 millions for smearing and badmouthing china why this poor indians media are popping up everywhere to demonizing china why these propaganda channel are spreading these fake news are they sponsored by these funds or orchestrated by nedcia the one that has a hotbed of disease is india it is filthy and extremely dirty society,Negative,0
not buying it more scare and fear tactics,Negative,0
the usa is in everybody business over the world,Neutral,1
anytime donal j trump in power virus  comes in to place  just remember who was the ones who was involved in covid 19,Neutral,1
hates most political vision,Negative,0
close border for all passport from mainland china,Neutral,1
isnt it funny that the flu and pneumonia did not exist in 2020 and 2021 because it was replaced with sarscov2 yet sarscov2 is not a respiratory virus but an inflammatory virus smh ,Negative,0
stay there and dont spread all over world,Neutral,1
ladies and gentlemen as with covid this is what known in china as 5 year plan ,Neutral,1
this is how covid started it started with denials all airlines should ban all flights from and into china,Negative,0
the root of all the virus,Neutral,1
no chinese allowed in the philippine airportregisteredregisteredregistered,Negative,0
why why china ur always making problem,Negative,0
sorry not falling for it again,Neutral,1
china not allowed to any countrys,Neutral,1
well i wont be getting any vaccines this time,Positive,2
wtf china tama na  copyright how i gonna grow as a adult mental and physically and socially if theres upcoming quarantine,Negative,0
why new viruses are always coming from china,Neutral,1
same as hitler taking czechoslovakia because there were some germans living there or russia invading ukraine for the same reason why not russia taking alaska because they used to own it or mexico taking back california nevada arizona new mexico colorado and texas because they used to own it and some mexicans live there taiwan is a separate country and so was tibet,Neutral,1
is this strategy to control people of china,Neutral,1
china is a most threat country in the world ,Negative,0
everything is happening coincidentally nearing chinese new year chinese citizens take the longest holidays during this time often travelling to other countries making the virus spread easier u will see there will be lack of checks from china of its citizens leaving the country but more stricter checks when they come back in,Positive,2
lets just be real chinese eat anything that has a pulse,Neutral,1
i doubt china would allow posts on youtube unlessits propaganda,Negative,0
another factory of money,Neutral,1
this virus is the doing of the chinese communist party to cull the population because they are losing control of the people this is a direct attack on the chinese people by its own government,Negative,0
made in china virus ,Neutral,1
ahh china keeps giving gifts not in a good way,Neutral,1
happy new year ntdnewsluvwatchingu,Positive,2
more footage from china of people desperate and dying are they trying to take hollywoods crown because they are not really any good at acting,Negative,0
 another reason to despise the ccp even more each day the ccp commits another act of waragainst the us the rest of the world all other countries will never forget covid19 the ccps intentional spreading of it to the rest of the world its own people china has the worst reputation of any country on earth revolution now,Negative,0
why is china responsible for most plagues honestly,Positive,2
is this in the worldwide fog,Neutral,1
because i need to take off the face diaper and breathe fresh air,Positive,2
new infections expected guess infections make reservations they know this because they release them,Neutral,1
considering africans have been setting the chinese businesses including the ev ones on fire and looting them i dont think the africans are crazy about the chinese government,Negative,0
the ccp will never be anything more than what it has always been if anyone thinks these people care about human rights they are not paying attention the ccp doesnt care about its own citizens and never has they are just a couple of steps from governing like nk,Positive,2
something is not right need to watch the cause its serious it is very dangerous if it spread,Negative,0
this isnt a new virus its symptoms of side effects from the c19 vaccines,Neutral,1
stop eating cats and dogs,Negative,0
id never spend 5k on chinese shite the throwaway model is destroying us,Negative,0
thats why chinese must be rotal ban for entering philippines and other countries,Negative,0
china causes more more problems shady asf my mother is dead from their bs,Negative,0
whats the us patton on this germ,Neutral,1
americans dont want electric carsthose cares are still to dangerous and we dont have the infrastructure,Negative,0
america firstfirst america pulling out of the who does nothing to america except same the american tax payers money,Neutral,1
always from ccp spreading diseases,Neutral,1
imagine that just in time for trump thanks china,Positive,2
china is getting weird its day including its officials,Negative,0
do you love being sick,Positive,2
people who took the covid shots now have heart problems,Negative,0
drs letting out viruses theyve made again ,Neutral,1
fake propaganda channel paid by falun gong and cia,Negative,0
satan woman you are at it again there is no new virus in china,Negative,0
always china causing problems,Negative,0
hair curly nice,Positive,2
typical winter temps down upto 21,Neutral,1
let china have the who we dont need it,Neutral,1
i mean have you seen their hygiene their food their pollution sounds abt right,Neutral,1
stop eating chinese food,Negative,0
stop eating everything that moves please,Neutral,1
welcome back been waitin for u guys to return from the ntd shill,Positive,2
doomed are the communists chinese,Negative,0
ohwhat a coincidencetrump is back in power,Neutral,1
this what we leaving 2024 with cuh  lord help us all  colossians 11215 king james version 12 giving thanks unto the father which hath made us meet to be partakers of the inheritance of the saints in light 13 who hath delivered us from the power of darkness and hath translated us into the kingdom of his dear son 14 in whom we have redemption through his blood even the forgiveness of sins 15 who is the image of the invisible god the firstborn of every creature,Positive,2
show more fake videos like in covid bahahahaha,Negative,0
more fear tactics not buyiny it,Negative,0
no more fear mongering please covid was enough,Negative,0
my son brought this home from public school he ended up in the hospital for 3 days on oxygeni caught it too it was the worst thing ive ever had my throat was so sore i couldnt talk,Negative,0
sunshine is all we need for respiratory symptoms,Positive,2
funny how the world is trying to tell the english they are not a ethnic group and have no culture its dehumanising and its what china are trying to do to the taiwan people,Positive,2
here we go again ,Neutral,1
next plannedemic,Neutral,1
another pandemic grab all the toliet paper and hand sanitizer,Positive,2
i rebuke this in the mighty name of jesus christ no weapon formed against me and my house shall prosper it wont work i lose health healing and a hedge of protection of angels around us in jesus christ name ,Negative,0
and its always hit during december and always no vaccine may god have mercy ooo,Positive,2
infections like bird flu have already started in usa a few weeks back,Neutral,1
covid was a test run,Neutral,1
no more rna vaccines we need to boost our own immune systems through healthy diets,Positive,2
chinese are allowed to japan you never follow the rules and mess around japanese beauty chinese stay in china copyright,Positive,2
chyna can not be trusted be it their corporations or their government kick them out of usa,Negative,0
i dont agree to her that trump leaves from who which is great ,Positive,2
china is the ground zero of aaaaaallllllll of these modern shenanigan virus shts,Neutral,1
dr fauci doing his thing,Neutral,1
keep your infections in your country close air travel in and out of your country,Neutral,1
when in tf did this channel become a deep state mainstream media lie wow i used to watch this news channel over 5 years ago every day and they were great and calling out facts well before gov or mainstream but my god guys they have been compromised this is no longer real news,Positive,2
fake news,Negative,0
why am i not surprised,Negative,0
this infection specifically was discovered in the netherlands in 2001 and is believed to have been around humans like a mild cold for over 50yrssoo theres that they would have to genetically alter it to make it anywhere near being serious fortunately for us we are all now paying attention eyes wide shut we now see most things that are happening because of social media and the plandemic we are more awake and we wont be going through this again unless its something that causes faster and higher levels of death pureblood,Negative,0
another vaccine anothet mask another facemask another lockdown another stress ,Negative,0
gotta love the fm hand signal,Positive,2
just like saudi arabia europe and the us am i wrong,Negative,0
winnie the pooh is at it again,Neutral,1
the low cost of things at walmart is this exact same thing as this ev push the cheap clothes that doesnt last i was buying it and it works for parents who have growing kids adults not so much if your rough on the clothes it will only last a few washes till its in the yard work bin,Negative,0
made in china prc ,Neutral,1
yes its called salt and vinigar virus,Positive,2
taiwan is a province of the united states  ,Positive,2
again hell no we aer not having another lockdown,Negative,0
why now a lot of bad things was created by chinese people,Negative,0
china has their greedy fingers in all world affairs,Negative,0
kamalas was getting a kickback for the bus deal she was bringing in though china,Neutral,1
i smell fauci and bill gates behind this again just like covid19,Positive,2
wat do u expect from their fake toxic food destroying their immune system itz ironic the anti ccp z genz r too young to die the old crustz in ccp r vulnerable to their creations maybe they should import some real food from poorer countries,Negative,0
i love the purple ,Positive,2
new drama right on schedule ,Neutral,1
you are no more than ccp and bill gates propaganda multiplier,Negative,0
metapneumovirus is a common cold,Neutral,1
every day on yu tube there is a new disease somewhere that is somehow spreading this time though it is just the common cold basically,Neutral,1
here we go again buys a megaton of toilet paper and hand sanitizer,Positive,2
let me guess another pandemic for america well i saw the bill gates video before christmas so i saw this comming we were warned too many people focusing on the wrong distractions,Negative,0
we can not trust china they are not responsible everything to depend in human need to be healthy what we are they they only plan for distraction in humanity,Negative,0
while we were locked down in china during the pandemic my work visa was canceled because i made a comment indicating that the virus came from china that was illegal according to a newly created law but was it untrue,Negative,0
china wonders why americans dont want your tech in americaccp is corrupt and just want too steal and lie what there doing too there people,Negative,0
another pandemic made by elite vaccination againsame same same making people stupid,Negative,0
taiwanese people would rather have the status quo upheld than a war with china,Negative,0
and it begins  im not getting locked in my home again,Neutral,1
click baity i definitely clicked lol,Positive,2
congrats on your promotion,Positive,2
here we go with this nation againall western society should back away from nations that always give the world freakingregistered problemsnever mind the behaviors of the peoples that brings an air from the communism time ive seen how they behave and how poorly they treat each other,Positive,2
bs the infection is corrupt politicians filled with lies,Negative,0
bullsht,Neutral,1
f right off we are not doing this again ,Neutral,1
byd is 79 billion in debt it sold 1 million cars last year the company is bankrupt,Negative,0
comunism causing all trouble around the world we dont awared of tha how could it be,Negative,0
what happened to tiffany is she in combat,Negative,0
out of curiosity why cant taiwan be in its own sovereignty,Neutral,1
fear mongering during cold and flu season,Negative,0
my feedback is that your beautiful,Positive,2
we wont fall for this again never again,Neutral,1
i want to see xi speak in the taiwan parliament if china people think taiwan belongs to china,Positive,2
block all chinese travellers into your country,Negative,0
the deep state time it right before january 20 inauguration,Neutral,1
here we go again and of course china wont contain this they just want to sell vaccines to the virus that they intentionally spread,Positive,2
seems like a way for the government to keep citizens in control,Positive,2
keep it within your country,Neutral,1
im not doing it you guys can do whatever you want i dont want to play this game,Negative,0
iris is so pretty ,Positive,2
trashy,Neutral,1
china is destructive to always be making virus for warfare,Negative,0
filipinos love this they just stay at home and the government will provide 8k money and weekly grocery,Positive,2
china aid russia and north korea china pretend to be a victim,Negative,0
iris is so cute,Positive,2
strange way to hold your hands,Negative,0
covid ready for round 2,Positive,2
china communist company every places is like this so many year also they can invasion every country with corruption government together in whole world third world country malaysia is the one biggest shame exminister corrupt 1mdb,Negative,0
i still like the bat soup story from a few years ago,Positive,2
evs need electricity to recharge the electricity needs to be made from coal based power plant not every country is adopting clean nuclear power plant building do evs really serve to lessen pollution and mitigate the worsening environmental issues why are we not encouraged to walk,Negative,0
that news caster is fine af,Positive,2
we will not fall for another fake scheme shove it,Negative,0
its always comical and bemusing to learn that every country is busier interfering and meddling in other countries affairs than dealing with the accumulated domestic affairs if the world all minded its own business the peace and prosperity was a lot more easily achieved,Positive,2
any follow up research and report on the covid19 virus found in the italian and french sewage systems in 2017 where is it really originated from,Neutral,1
is hmpb same as who termed disease x,Neutral,1
wash rinse repeat,Neutral,1
why am i seeing this again this happens every year in december with china what is the deal,Neutral,1
china already runs the who did you miss 2020 if china wants to run it let china pay for it ,Negative,0
closed all transaction in china airport business,Neutral,1
freemason hand signals,Positive,2
nice freemason hand gesture right at the beginning,Positive,2
when u are paid you smear without conscience,Negative,0
when was the last time america infected a country with a virus besides aids,Negative,0
thanks china love the usa,Positive,2
another made in china product,Neutral,1
could we shut down the bird markets since thats where these viruses come from,Neutral,1
the world will not be swayed by copyright pandemic propaganda,Negative,0
just in time for trumps new term,Neutral,1
if you check you will see how similar iran north korea and china are on killing innocent people it can be virus bomb or gun,Negative,0
taiwan getting entangled with the un is not doing them any big favors or keeping them saferthe assembly as a whole is morphing into an undemocratic organization and an ineffective peace keeping body for the usa it had turned into a money pit subsidizing non democratic countries that end up doing nothing for individual freedoms per dollars spent it isnt making progress any better than private charities do being connected in any meaningful way with the un does nothing except give some prestige for the high price of un dues,Positive,2
it was over 4 years ago not 3 years ago this is old news re gurgitated,Neutral,1
the ccp wants to steal their property and land,Negative,0
god warned it is all coming lockdowns martial law pestilence floods volcanoes earthquakes fires wars triibulation in bible then mark of beast,Negative,0
iris has great hair definitely deserves a hair compliment,Positive,2
new virus from china same month four years ago and this is definitely not a coincidence,Positive,2
its called the ev virus never trust the ccp,Negative,0
oh sh here we go again,Neutral,1
a million americans died with covid not from it,Negative,0
trump in power and this is planned,Neutral,1
this virus is extremely common do not get caught up in the fear porn again like last time most people experiencing mild hmpv symptoms do not need to see a doctor as the illness should go away on its own and supportive care of symptoms at home is enough however if symptoms worsen and you develop shortness of breath severe cough or wheezing you should see a doctor,Negative,0
well china hase enogh people to test out virus for a new war ,Negative,0
evs are not the answer they ruin the planet and take too long to charge and not enoughchargers and too expensive to charge and difficult to repair and a huge fire risk the chinese dont even like them,Negative,0
lets see 5000 for a new ev car in china or made in brazil by china and america is selling new cars for 30000 thats crazy chinas slave labor is beyond insane,Negative,0
same time frame again as 2020 corona virus just a month away before trump takes office a virus breaks out wonder which virus will be released again to hamper trumps presidency again,Neutral,1
the ccp has created a new item for export now that the wuhan virus has lost its value,Positive,2
were not falling for it this time,Positive,2
 covid clowns,Neutral,1
chinese new year is feb 10th here we go again,Neutral,1
by allowing china to take over the un we gave up any part we had in the leadership the un is garbage now,Neutral,1
so stupid to let your enemy corner you really dumb chinas goal world dominion,Negative,0
we have seen the videos their ev suck,Negative,0
anybody allowing themselves to fall into this trap deserve what they had coming during the restrictions of fake narratives back then,Negative,0
chinas ev vehicles are horribly made,Negative,0
its a full of caca organization,Neutral,1
chinas is in charge of the panama canal,Neutral,1
viniepoh trump is coming,Neutral,1
how many slaves needed to produce a byd,Neutral,1
everyone needs to buy toilet paper and baby oil,Neutral,1
aw shit here we go again,Negative,0
american biolabs are working,Neutral,1
they are letting this crap out on purpose throwing diseases on the world its shameful and god will judge the ones involved jesus is lord,Negative,0
here we go again guys just give us 2 years break from all this we had virus we have wars we have genocide we now got even ufo invasion hahaha i thought next should be some asteroid approaching planet but not virus again just let us live without all this bullshit,Negative,0
thats sad,Negative,0
un is corrupt,Neutral,1
as an american im glad to get ccp out of relations in business,Positive,2
wow strategy to contain poeple again no way wake up chinese citizen ccp is sinking,Positive,2
here we go again at least we are now in a new administration,Neutral,1
what a beautiful voice and beautiful woman,Positive,2
just in time for the next presidenttrump to have to deal with,Neutral,1
watch out for the next crisis to mess with the new administration,Negative,0
population control if it works they are going to send a batch to india,Neutral,1
to the people of china take care as the coldflu happens every year around this time in canada too this better not get to the mandatory test kit mask injection stage for everyone all over the world if it does every single person across this planet should be free to decide what is best for themselves and their families ,Positive,2
such a childish viewpiont oh pulling out of the un just gives it to china nope it forces other nations to step up these other nations europe are sitting around expecting the us to do something the us steps back and says you are on your own and they scramble to figure out what they need to do then when they finally decide the us can step back in supporting them,Positive,2
this is crazy if i say anything bad about china it is endlessly censored and endlessly ignored when i send out everything disputing that no policy has been violated i am always endlessly ignored by youtube if it is about china the only way to make the system stop crushing me in the algorithm was to submit a gay rights flag every day disputing the censorship of me being a homosexual i am not gay but it worked by confusing the algorithm i made the software that judges the etraffic sorting by topic for human or ai response think that i was outraged by being censored about homosexuality instead of china and it doesnt touch that with a ten foot pole lifting censorship on my comments for quite some time youtube censors only negative comments about homosexuality promoting it so touting a fake gay pride gets my comments visible again even though the comments are about the pathetic communist nation of china that murdered over 330 million of its own babies and unborn through the one child policy youtube violates its own policy behind everyones back if you make 2 comments about china that are censored and complain with 18 disputes of gay rights being violated using the same link the subject becomes 10 international politics and 90 gay breaking algorithm putting you back on the uncensored side check your comments from multiple accounts as youtube will post your comments visible only to you a form of censorship they usually get away with and constantly use on the subject of china,Negative,0
never trust the media not a single word esp if its news from china,Negative,0
to all taiwan was an aboriginal country netherlands was the first country to colonise taiwan in 16 century dutch imported many chinese from china as foreign labors to build taiwan in 16 countries japanese colony from 18951945 and then republic of china taiwan republic of china took over rule of the island after japan lost the war taiwan has never controlled by people republic of china prc established late in 1949 democratic taiwan roc was in un until 1979 please support taiwan  to be recognised by un and who again there are 2 korea in un and who why un and who has obeyed ccp chinas demands,Negative,0
hehe hmmm heres another paid amateur blogger trying to to fool kids dumb people,Negative,0
dont be stupid the cold weather cause cold and flu dont make it a pandemic again,Neutral,1
copyrightcopyrightcopyrightcopyrightcopyrightcopyright,Neutral,1
not gonna comply,Neutral,1
whl is economically provided by the us for the greatest part of its contributions from other countries with china taking over and us paying for it doesnt make sense,Positive,2
tiktok is owned and operated by china  never and not usa thank u iris,Negative,0
the only contribution ill share in re hmpvhumam metapneumo virus is a like a cold true its seasonal diseases for winter early spring similar to rsvrespiratory syncytial virus they are not the same whn an adult gets hmpv is due to weak immunity isolate the patient lots of rest wash ur hands frequently hydrate the patient buy over the counter coldsremedy as hmpv no medical treatment kat,Negative,0
another lies again against china how much did us budget to destroy china using mainstream media,Negative,0
pls also mention all links for news,Positive,2
this nonsense is out of india none of this stuff is going on in china,Negative,0
again stop eating  i m done living isolated for 2 years because of social distancing,Negative,0
this is all by design the people who are responsible should be held accountable,Positive,2
tied to the jibby jabs,Neutral,1
fear mongering again plandemic part2,Negative,0
viruses dont care if they travel by air or by sea lets stop all flights all shipping and all mail from china for the next twelve months,Negative,0
unlike hong kong taiwan had been a sovereign nation it had been independent xi should accept that they will try to annex taiwan but dont expect taiwan to roll over and hand the regime quietly over,Positive,2
its such a coincidence that another new deadly  inside china is taking off as announced by chinas cdc so a new is waiting to welcome trump again ghebreyesus repeated pandering to china has evoked distrust of who among many democratic countries its time to see trump kick who ass americans get your out chinese new year is on jan 29 2025 when many chinese will travel out to the world hk traced the first carrier a couple who brought the first covid case into hk if my recall is correct the first case from china was came in from a male patient in san fran 2019 2025 dejavu,Negative,0
of course biden no covid concerns trump now covid will be rampant and trumps administration will be hampered games being played to stop america from being great again,Positive,2
the whole world should blame and pay china for the covid spreading that happened,Negative,0
countries need to close their borders before they spread these diseases to the rest of us,Neutral,1
chinvid19 isnt a threat like everything made in china it was of poor quality,Negative,0
bydstands for blood on your drive,Neutral,1
this all sounds so very cough cough familiar 1 thing though we are not burdened by money hungry big pharma,Positive,2
chinas ev can never be cheap in singapore go figure this,Neutral,1
ccps strategy to claimed another lands very stupid,Negative,0
wuhan or fauci eh both,Neutral,1
news flash the majority of people in the usa do not want electric cars the weather in  of the continental us states is too cold  for up to 6 months a year electric cars just wont work also the cost of electricy is extremely high now,Negative,0
lockdowns should be banned globally,Negative,0
the chinese locals are already blaming it on foreigners,Negative,0
158 propaganda at its finest,Negative,0
what,Neutral,1
chinas new ai language model is already blaming the usa,Negative,0
bioweapon from chinese lab,Neutral,1
another covid 19 in the making in china ,Neutral,1
oh no not any viruses again by now we are all immune this is a crazy scare us all scheme enough now,Negative,0
no it is not i remember presidents nixon carter and reagan saying it is part of china the videos are here on youtube ,Negative,0
is hunter biden in china again,Neutral,1
the entire time biden was in office you heard nothing the second trump shows up new virus,Neutral,1
so bydbhas 178 chinese techeciabsinthe hotels but hw many are local tecgnicialn are working in the projects,Neutral,1
do you at all know what it will be like this spring wit the floods and rains and the effect of those humidities in the air will bring in snow also next year,Positive,2
people in the us are getting sick after those drones sprayed all of that stuff coincidence,Negative,0
oh you women huh and wont even come do the shotgun tests on me personally how many years why do you leed the women away from me and to other males it is very damaging and you only make youreselves look bad very bad really,Negative,0
china will blame the usa taiwan japan or philippines for sure,Neutral,1
thanks china in focus ntd tiffany iris tao ,Positive,2
hmmmmmwhy is this big news story if its basically mild,Neutral,1
for chinese authorities to say they comply with laws and avoid violating human rights in brazil is not true the track record of the ccp is to do whatever it takes to dominate and subdue a foreign market of a country until they have forced all other local manufacturers out of business if bringing with them indentured chinese workers who are close to slave laborers is going to improve their chances of accomplishing their goal they will do it until they get caught brazilians should not be fooled by the chinese companies,Negative,0
6 g virus this time,Neutral,1
just turn off your tv problems solved tel a lie vision,Positive,2
good thing europe stop flying to china china should stop flying out,Negative,0
covid does really start from china and again they will falsely spread falls rumors to their country its america fault to hate more americans to make their people aggressive towards americans that they think will favor to their soldiers motivation for more anger to fight america thinking they were like the best aggressive honey badgers,Negative,0
we al know democrats are to blame,Negative,0
the un keeps proving its irrelevance except as an organ for autocratic regimes and terrorists theyre hopping mad at israel for protecting itself against terrorist attacks but entrench occupation aggression ethnic cleansing and terrorism by china iran russia yemen and all the other despotic regimes,Negative,0
